work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Id
2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L,DSS-00001
2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,S,DSS-00002
2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,S,DSS-00003
2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M,DSS-00004
2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,M,DSS-00005
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,DSS-00006
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,DSS-00007
2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M,DSS-00008
2023,SE,FT,Data Scientist,141000,USD,141000,CA,0,CA,M,DSS-00009
2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M,DSS-00010
2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M,DSS-00011
2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M,DSS-00012
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,DSS-00013
2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L,DSS-00014
2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L,DSS-00015
2023,SE,FT,Data Modeler,147100,USD,147100,US,0,US,M,DSS-00016
2023,SE,FT,Data Modeler,90700,USD,90700,US,0,US,M,DSS-00017
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,DSS-00018
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,DSS-00019
2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M,DSS-00020
2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M,DSS-00021
2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,M,DSS-00022
2023,SE,FT,Research Engineer,174000,USD,174000,DE,0,DE,M,DSS-00023
2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,M,DSS-00024
2023,SE,FT,Analytics Engineer,143200,USD,143200,GB,100,GB,M,DSS-00025
2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M,DSS-00026
2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,M,DSS-00027
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M,DSS-00028
2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M,DSS-00029
2023,SE,FT,Data Strategist,90000,USD,90000,CA,0,CA,M,DSS-00030
2023,SE,FT,Data Strategist,72000,USD,72000,CA,0,CA,M,DSS-00031
2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M,DSS-00032
2023,SE,FT,Data Engineer,90700,USD,90700,US,0,US,M,DSS-00033
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M,DSS-00034
2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,M,DSS-00035
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,DSS-00036
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,DSS-00037
2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M,DSS-00038
2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M,DSS-00039
2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,L,DSS-00040
2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L,DSS-00041
2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,L,DSS-00042
2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,L,DSS-00043
2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,L,DSS-00044
2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,M,DSS-00045
2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M,DSS-00046
2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M,DSS-00047
2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M,DSS-00048
2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M,DSS-00049
2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M,DSS-00050
2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M,DSS-00051
2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M,DSS-00052
2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M,DSS-00053
2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,M,DSS-00054
2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,M,DSS-00055
2023,SE,FT,Data Engineer,123600,USD,123600,US,100,US,M,DSS-00056
2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,M,DSS-00057
2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,M,DSS-00058
2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M,DSS-00059
2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,M,DSS-00060
2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,M,DSS-00061
2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M,DSS-00062
2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,M,DSS-00063
2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,M,DSS-00064
2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M,DSS-00065
2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,M,DSS-00066
2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,M,DSS-00067
2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,M,DSS-00068
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,DSS-00069
2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,DSS-00070
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,DSS-00071
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,DSS-00072
2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M,DSS-00073
2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,M,DSS-00074
2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M,DSS-00075
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M,DSS-00076
2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M,DSS-00077
2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,M,DSS-00078
2023,SE,FT,Data Engineer,193500,USD,193500,US,100,US,M,DSS-00079
2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,M,DSS-00080
2023,MI,FT,Data Scientist,510000,HKD,65062,HK,0,HK,L,DSS-00081
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M,DSS-00082
2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,IN,100,DE,S,DSS-00083
2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L,DSS-00084
2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NL,100,NL,L,DSS-00085
2023,SE,FT,Business Intelligence Engineer,185900,USD,185900,US,0,US,M,DSS-00086
2023,SE,FT,Business Intelligence Engineer,129300,USD,129300,US,0,US,M,DSS-00087
2023,SE,FT,Data Engineer,225000,USD,225000,US,100,US,M,DSS-00088
2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M,DSS-00089
2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,DSS-00090
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,DSS-00091
2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,DSS-00092
2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,DSS-00093
2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M,DSS-00094
2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M,DSS-00095
2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,M,DSS-00096
2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,0,US,M,DSS-00097
2023,SE,FT,Data Engineer,217000,USD,217000,US,100,US,M,DSS-00098
2023,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M,DSS-00099
2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L,DSS-00100
2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,L,DSS-00101
2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M,DSS-00102
2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M,DSS-00103
2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,DSS-00104
2023,SE,FT,Data Engineer,132300,USD,132300,US,0,US,M,DSS-00105
2023,SE,FT,Data Engineer,179170,USD,179170,US,0,US,M,DSS-00106
2023,SE,FT,Data Engineer,94300,USD,94300,US,0,US,M,DSS-00107
2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,M,DSS-00108
2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,M,DSS-00109
2023,SE,FT,Data Engineer,247300,USD,247300,US,0,US,M,DSS-00110
2023,SE,FT,Data Engineer,133800,USD,133800,US,0,US,M,DSS-00111
2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,M,DSS-00112
2023,SE,FT,Research Engineer,133000,USD,133000,US,0,US,M,DSS-00113
2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,L,DSS-00114
2022,EN,FT,Machine Learning Engineer,54000,CHF,56536,CH,100,CH,S,DSS-00115
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,DSS-00116
2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M,DSS-00117
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,DSS-00118
2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0,US,M,DSS-00119
2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M,DSS-00120
2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M,DSS-00121
2023,SE,FT,Machine Learning Engineer,283200,USD,283200,US,100,US,M,DSS-00122
2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M,DSS-00123
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,DSS-00124
2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,M,DSS-00125
2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M,DSS-00126
2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M,DSS-00127
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M,DSS-00128
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M,DSS-00129
2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M,DSS-00130
2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M,DSS-00131
2023,SE,FT,Data Engineer,161800,USD,161800,US,100,US,M,DSS-00132
2023,SE,FT,Data Engineer,141600,USD,141600,US,100,US,M,DSS-00133
2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0,US,L,DSS-00134
2023,SE,FT,Machine Learning Engineer,176100,USD,176100,US,0,US,L,DSS-00135
2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,DSS-00136
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,DSS-00137
2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,DSS-00138
2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,DSS-00139
2023,SE,FT,Data Scientist,138784,USD,138784,US,100,US,M,DSS-00140
2023,SE,FT,Data Scientist,83270,USD,83270,US,100,US,M,DSS-00141
2023,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M,DSS-00142
2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M,DSS-00143
2023,SE,FT,Data Analyst,204500,USD,204500,US,0,US,M,DSS-00144
2023,SE,FT,Data Analyst,138900,USD,138900,US,0,US,M,DSS-00145
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M,DSS-00146
2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100,US,M,DSS-00147
2023,SE,FT,Data Engineer,95000,USD,95000,US,100,US,M,DSS-00148
2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M,DSS-00149
2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M,DSS-00150
2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,DSS-00151
2023,SE,FT,Analytics Engineer,230000,USD,230000,US,0,US,M,DSS-00152
2023,SE,FT,Analytics Engineer,143200,USD,143200,US,0,US,M,DSS-00153
2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,DSS-00154
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,DSS-00155
2023,MI,FT,Business Data Analyst,105000,USD,105000,US,50,US,L,DSS-00156
2023,MI,FT,Applied Data Scientist,1700000,INR,20670,IN,100,IN,L,DSS-00157
2023,MI,FT,Data Analyst,38000,GBP,46178,GB,0,GB,M,DSS-00158
2023,MI,FT,Data Analyst,35000,GBP,42533,GB,0,GB,M,DSS-00159
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,DSS-00160
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,DSS-00161
2023,SE,FT,Data Analyst,168400,USD,168400,US,0,US,M,DSS-00162
2023,SE,FT,Data Analyst,105200,USD,105200,US,0,US,M,DSS-00163
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,DSS-00164
2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,DSS-00165
2023,SE,FT,Machine Learning Engineer,190000,USD,190000,US,0,US,M,DSS-00166
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M,DSS-00167
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,DSS-00168
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,DSS-00169
2023,SE,FT,Analytics Engineer,150000,USD,150000,US,100,US,M,DSS-00170
2023,SE,FT,Analytics Engineer,120000,USD,120000,US,100,US,M,DSS-00171
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,DSS-00172
2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M,DSS-00173
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,DSS-00174
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,DSS-00175
2023,SE,FT,Data Analyst,45000,GBP,54685,CF,100,CF,M,DSS-00176
2023,SE,FT,Data Analyst,35000,GBP,42533,CF,100,CF,M,DSS-00177
2023,SE,FT,Data Engineer,241000,USD,241000,US,0,US,M,DSS-00178
2023,SE,FT,Data Engineer,155000,USD,155000,US,0,US,M,DSS-00179
2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,DSS-00180
2023,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M,DSS-00181
2023,MI,FT,Data Scientist,55000,GBP,66837,GB,0,GB,M,DSS-00182
2023,MI,FT,Data Scientist,45000,GBP,54685,GB,0,GB,M,DSS-00183
2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,M,DSS-00184
2023,MI,FT,ETL Engineer,70000,GBP,85066,GB,100,GB,M,DSS-00185
2023,MI,FT,ETL Engineer,47500,GBP,57723,GB,100,GB,M,DSS-00186
2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M,DSS-00187
2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M,DSS-00188
2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M,DSS-00189
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,DSS-00190
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M,DSS-00191
2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M,DSS-00192
2023,SE,FT,Data Scientist,228000,USD,228000,US,0,US,M,DSS-00193
